api_duration_s,api_size_kib,band_high_jump_db,band_low_jump_db,band_mid_jump_db,baseline_brightness_db,baseline_db,brightness_change_db,broadband_jump_db,change_1000ms_db,change_100ms_db,change_250ms_db,change_500ms_db,change_50ms_db,classification,crest_db,detection_mode,duration_s,event_at_s,event_brightness_db,event_db,event_duration_s,event_near_clip_pct,event_peak_dbfs,event_persistence,event_spectral_flatness,event_zcr,file,jump_db,label,max_spectral_flux,md5,old_classification,old_dynamic_range_db,old_jump_at_s,old_max_jump_db,old_median_db,old_peak_window_db,old_score,p10_db,p25_db,p50_db,p75_db,p90_db,p95_db,p99_db,path,peak_dbfs,peak_to_median_db,raw_baseline_dbfs,raw_event_dbfs,raw_jump_db,raw_median_dbfs,rms_dbfs,sample_above_-12db_pct,sample_above_-3db_pct,sample_above_-6db_pct,sample_above_-9db_pct,score,spectral_flux_at_event,spectral_flux_near_event,spectral_shape_distance,start_at_s,start_brightness_db,start_duration_s,start_event_db,start_near_clip_pct,start_score,start_spectral_flatness,status,suspicious,transition_score,window_above_-12db_pct,window_above_-3db_pct,window_above_-6db_pct,window_above_-9db_pct
17,2702,64.36670010132369,45.60268729011087,70.55812789634035,-10.111404718376535,-45.027244782599396,1.4009233543346546,45.60268729011087,64.11686721848444,58.84893844750515,61.9908762324491,63.45908258566281,30.373102782310298,suspicious,16.762869114905996,transition,17.8080625,15.850000000000001,-8.71048136404188,18.18335324161427,1.9500000000000002,98.09375,24.26987075805664,1.0,0.006108318891720718,0.08760951188986232,17883557324650588814.webm,63.21059802421367,confirmed positive #1,0.48404714784921965,f62360ca0d71096dfc4cf468a3a2cb67,suspicious,60.26544830419748,15.9,61.32603211216175,-41.56188365699066,18.703564647206814,4,-45.66162359614415,-44.94790470543299,-43.96134294882525,-42.78966858643586,13.436241454852809,17.865256995263422,18.2313882549022,/b/src/336185346/17883557324650588814.webm,24.727916717529297,62.34189194540119,-43.110194536049065,18.255892338930444,61.36608687497951,-41.60712942651497,7.9650476026233,11.577071629213483,11.231039325842698,11.381495786516854,11.497015449438203,0.9121339601606585,0.3077275950575324,0.46607351545261094,0.8622677625438745,1.85,-15.898828270869263,0.0,-41.93394488187673,0.0,3.7220009348137077e-10,0.007475069444697523,ok,True,0.9121339601606585,11.797752808988763,11.797752808988763,11.797752808988763,11.797752808988763
13,4095,36.18087684171671,8.407632493729245,27.532392308071792,-14.27010532882497,-24.533735937101792,10.117870717651433,8.407632493729245,71.99329144425656,65.22272210851678,68.86975943973269,71.5563285750938,33.074381842914306,suspicious,11.06661119680937,transition,13.16575,7.95,-4.152234611173537,-0.6599150660712185,2.45,52.7625,2.7433032989501953,1.0,0.003128422130641897,0.1295369211514393,17883557325462786367.mp4,23.873820871030574,confirmed positive #2,0.5338494707168671,78bdb4da7df10e8bd5b05a3b7fcd1af5,suspicious,18.17098408187796,0.30000000000000004,71.4642650960901,-19.11764463706978,-0.9466605551918208,4,-33.54757318960311,-27.63532327050072,-23.371085149422125,-17.99989828363191,-0.698345566027883,-0.495931605033547,0.14532905070443256,/b/src/336185346/17883557325462786367.mp4,2.7433032989501953,24.074974365062875,-21.17000066984238,-1.237356383857293,19.932644285985088,-20.104439391776832,-8.323307897859175,19.731226235741445,15.317490494296578,17.180846007604565,17.979562737642585,0.8909214734096425,0.40964552453519304,0.40964552453519304,0.8819724358258665,1.25,-8.737036560852406,0.0,-20.127234446359466,0.0,6.599258599963896e-05,0.04709470122337424,ok,True,0.8909214734096425,20.15209125475285,19.771863117870723,19.771863117870723,19.771863117870723
148,6625,25.113754026166667,49.26355281206047,31.174615346098307,-9.39232817472311,-43.69642982082735,-1.7720439870810871,25.113754026166667,49.90575557756348,47.615277536588984,49.25400279070386,48.73323771072496,24.91189862931059,normal,20.149561082033028,normal,148.051,76.65,-11.164372161804197,-6.349336096514737,0.4,2.9749999999999996,0.11621329933404922,0.8,0.00030410990614058444,0.08573216520650814,17882984411551286220.webm,37.347093724312614,unlabeled,0.5733318750296656,88c3863ca0bba27963c277ba1a7f7180,suspicious,24.28692512145514,134.6,48.692007225447576,-28.553193778579026,-4.266268657123884,4,-55.80300763932904,-52.459421805080005,-32.102820615802365,-22.808955968155278,-16.487707127936783,-13.356326075947237,-7.753433307180014,/b/src/336185346/17882984411551286220.webm,0.4995696246623993,27.70665871326704,-43.55982752984525,-5.818280523498926,37.74154700634632,-31.850569384737778,-19.64999145737063,3.888867781155015,0.2585275244849713,0.8777017899358326,1.9960739614994936,0.7738332612443872,0.383899421925707,0.383899421925707,0.5309513510672078,1.1,-15.989016786713057,0.0,-28.64385521122492,0.0,5.53246068156372e-07,0.004075149036986287,ok,False,0.7738332612443872,3.7487335359675784,0.0,0.37149611617696726,1.7223910840932117
28,600,71.5635544174606,48.19055296516865,76.16641971303892,-17.058306785629682,-58.09963019475815,11.634724323722626,48.19055296516865,86.15722387349109,83.57822315488606,88.26713002878311,88.26713002878311,44.331465317948314,normal,10.661046177858964,normal,28.885625,13.3,-5.423582461907056,-0.5984946972836082,1.55,55.1625,2.681036949157715,1.0,0.009370463853201325,0.11576971214017523,17881699236063425442.mp4,57.50113549747454,unlabeled,0.738086069713591,bfb16303c204f59345782f41dd908a41,normal,13.101848244676454,19.900000000000002,82.29669633753198,-13.739038490101606,-0.6371902454251533,2,-90.0,-90.0,-12.730606613624571,-4.541500057310364,-2.666453568054378,-1.8605665298675993,-1.1033500489371089,/b/src/336185346/17881699236063425442.mp4,2.681036949157715,12.46733318027867,-56.64393420126622,-0.8132860141345503,55.83064818713167,-14.128562071189188,-7.980009228701249,31.2224870017331,13.67894280762565,20.15662911611785,25.912911611785095,0.7300382542563516,0.13816598886555898,0.514982188477067,0.85722299216842,0.7000000000000001,-6.70255327825253,0.9500000000000001,-3.292132334368655,20.0375,0.6807048556213066,0.010445290728067512,ok,False,0.7300382542563516,46.2738301559792,12.131715771230503,31.542461005199307,36.3951473136915
65,17124,32.05754193568556,14.389360246917146,22.48019262951139,-17.283251330536743,-25.507376451636432,7.263705937553427,14.389360246917146,41.16657607203412,37.952676431082125,37.28925289931312,36.53355635965348,28.850050339110872,normal,6.724637084215916,normal,65.5731875,16.05,-10.019545392983316,-5.754887954092171,3.0,27.450000000000003,1.1570229530334473,1.0,0.03537579750746056,0.0725907384230288,17881887457541053716.mp4,19.752488497544263,unlabeled,0.5597816891245904,3a436c694623185b62111ccc72aab98f,normal,2.7458416424159884,14.5,18.73050659522182,-4.159074083550241,-1.4132324411342523,2,-22.659510510142216,-15.345261445096227,-8.640614356614577,-6.669482896673129,-5.060005094791868,-4.096386948859799,-3.611859482770585,/b/src/336185346/17881887457541053716.mp4,1.9030652046203613,5.233060093956325,-24.81908114815033,-3.4014343784263086,21.417646769724023,-4.053755439576411,-4.821571879595555,58.090818077803206,31.305158276125095,40.45499618611747,49.698750953470636,0.7221708582630793,0.44797448160189657,0.44797448160189657,0.4370361575607868,0.65,-10.3386763248299,0.0,-18.383349096684203,0.0,0.0001604094730978266,0.010510139710371968,ok,False,0.7221708582630793,66.89549961861174,0.0,17.84897025171625,53.775743707093824
39,3921,32.31226286786517,59.487173531436056,54.37299926512586,-2.94182045653475,-62.70076555431761,-4.983317300765069,32.31226286786517,60.945149924088796,55.90691380055036,53.11956323123067,58.18719241261963,30.87108547492773,normal,22.122296726402116,normal,38.9973125,18.1,-7.925137757299819,-7.8070546773987886,0.5,7.7375,0.38333308696746826,0.9,0.013793413029841425,0.1013767209011264,17881481520942199957.mp4,54.893710876918824,unlabeled,0.5597923483579236,d00f4fac6a8d1d047192449b9bbcb78a,suspicious,29.133673833006537,31.900000000000002,50.76761156563427,-32.83644196981432,-3.7027681368077787,4,-73.66867773462803,-62.46499865652832,-35.48032482928552,-25.733532077092043,-18.725847672427324,-15.014724344597967,-9.185368427562183,/b/src/336185346/17881481520942199957.mp4,0.38333308696746826,31.858412857502536,-63.15345998612754,-8.30317012729223,54.85028985883531,-35.27382310285881,-21.738963639434647,2.1177792041078303,0.18918485237483953,0.4292362002567394,1.0378690629011553,0.6661798689506152,0.27547618630271803,0.27547618630271803,0.4699767500820633,1.05,-9.076282706211419,0.0,-25.706666250058287,0.0,2.8545319977802447e-06,0.002956549169689633,ok,False,0.6661798689506152,2.1822849807445444,0.0,0.25673940949935814,0.8985879332477535
82,1332,47.09900279917369,13.511290495909178,29.678580700631404,-18.187801497549238,-37.87580101141248,6.536439638828128,13.511290495909178,85.52205997135587,48.976871052455074,73.19787767156406,79.55501554858245,27.45184902920291,normal,9.542662746224456,normal,82.5165,65.9,-11.65136185872111,-3.979685298007063,0.55,30.862499999999997,1.7286633253097534,1.0,0.006319034691046836,0.06382978723404255,17882990553793679533.webm,33.896115713405415,unlabeled,0.7283830624579605,9f2e38268fda9a95e00a72c3d393b6a5,normal,8.461817510293157,0.8,69.08020722323133,-9.425448390758033,-0.963630880464877,2,-81.68346350179608,-36.98968929852289,-12.254892656532355,-4.3837276375918846,-2.4494619363411525,-1.8899759964993637,-1.4148298984059897,/b/src/336185346/17882990553793679533.webm,2.683891773223877,11.491584722649739,-27.76293518320734,-5.321086327122916,22.441848856084423,-11.812438619481775,-6.8587709730005795,36.6460606060606,20.156060606060606,26.07151515151515,31.539545454545454,0.6546491514215691,0.09117056977449779,0.5226838216640471,0.698222142010564,0.8500000000000001,-15.12076923431865,0.35000000000000003,-6.048221902371004,7.2375,0.23522957860540616,0.0022399400156143186,ok,False,0.6546491514215691,49.75757575757576,14.727272727272728,33.81818181818182,44.484848484848484
128,9906,3.4618538250522093,-0.46363996125009344,28.901710346680776,-13.04925854222881,-29.027535145858447,0.8297314749032108,-0.46363996125009344,81.61946672536692,81.97116745884722,81.97116745884722,81.97116745884722,41.59221268698495,normal,17.463738847414906,normal,128.66175,7.8500000000000005,-12.219527067325599,-7.962171159051534,1.9500000000000002,0.0,-1.4188880920410156,1.0,2.59719553245238e-06,0.07446808510638298,17883361674593313438.mp4,21.065363986806915,unlabeled,0.557091732542655,b61baad758cf3dc818db3166da579f0e,suspicious,17.21594688502948,125.0,85.87911391200383,-21.336832973025658,-4.120886087996175,4,-36.796183527924065,-27.444381944155346,-22.39762432396694,-18.23606744525093,-13.671272630069975,-10.75850774752372,-9.07599447207597,/b/src/336185346/17883361674593313438.mp4,-0.006279616616666317,15.608516722659633,-28.099609454983984,-7.384091097838992,20.715518357144994,-21.72180450036471,-17.470018464031572,6.76571609016712,0.18735425573260786,1.1727798289933928,3.2427856587640886,0.6445414497542405,0.45431336934148536,0.45431336934148536,0.6966451938330066,0.35000000000000003,-16.24308776812934,0.0,-9.770658754900603,0.0,0.015162799964488013,1.94168153296275e-05,ok,False,0.6445414497542405,7.8118927322192,0.0,0.0,0.9716284492809949
67,8268,7.946705784984854,48.02186860138206,29.437780706412145,-13.75110372293544,-37.78923051832515,-6.331890278922522,7.946705784984854,54.4808068077821,56.99310960884105,57.83686921243601,56.201137951136474,29.315440455983985,normal,12.279479285237347,normal,67.05925,57.7,-20.082994001857962,-6.86151293978246,0.5,3.35,-0.06550021469593048,1.0,2.6131234877382217e-05,0.02690863579474343,17881522183152175284.mp4,30.927717578542687,unlabeled,0.5384150015048519,04601236ab3ddd4762c8472c964dfb1d,normal,7.95179971897675,8.4,54.21285317602268,-13.026384055610924,-5.074584336634174,2,-56.986942259292114,-47.19704733309966,-14.986180559256612,-9.669406203812231,-8.018664265261982,-7.3089003564892385,-6.203321892880213,/b/src/336185346/17881522183152175284.mp4,0.5110777020454407,9.841699017388482,-35.83262931193224,-6.0884090315332955,29.74422028039894,-14.977046534108144,-11.768401583191906,22.182513049962715,3.499207680835198,8.772045115585383,15.147138329604774,0.6279444156932107,0.17884617285946217,0.17884617285946217,0.6591791102988431,2.0,-13.835630621889607,0.05,-14.44443732621706,0.11249999999999999,0.0016820422310515446,0.011361909802985069,ok,False,0.6279444156932107,39.299030574198355,0.0,0.5965697240865026,18.568232662192393
121,4471,20.277628284316513,12.5773126684946,29.91753249654838,-2.737723375222113,-21.009912709768866,-0.5689739044082343,12.5773126684946,47.32955697083789,34.616839461151486,45.86464559094769,48.44478868186348,21.22993280398633,normal,14.628832078081706,normal,121.60725,73.8,-3.306697279630347,-2.407654817557228,0.6000000000000001,17.3125,2.2603414058685303,1.0,0.10146690823217708,0.18460575719649563,17882989063041961052.webm,18.60225789221164,unlabeled,0.584664864602088,6fb31da125a92e2723d048e713a49c54,suspicious,24.355030900835025,68.5,40.941605792851774,-26.283474488664726,-1.9284435878297024,4,-47.59351913443426,-34.95488318872848,-26.831935380816574,-13.732486491623863,-4.2720136540347875,-2.8633853895745576,-1.7579077368832356,/b/src/336185346/17882989063041961052.webm,2.745633602142334,26.017359857067056,-21.800690183771035,-3.5673799029832685,18.233310280787766,-26.931660545432997,-11.883198475939372,15.418277138157896,5.213481702302632,8.701737253289474,11.950529399671053,0.5921168655616601,0.19173503792269467,0.3001066856067529,0.5934945180876909,1.9500000000000002,0.1437295193399379,0.0,-31.44239279061959,0.0,1.4194199029087612e-07,0.13935729635400168,ok,False,0.5921168655616601,22.36842105263158,5.550986842105264,13.856907894736842,18.46217105263158
