api_duration_s,api_size_kib,attack_ms,band_high_jump_db,band_low_jump_db,band_mid_jump_db,baseline_brightness_db,baseline_db,baseline_mad_db,brightness_change_db,broadband_jump_db,change_1000ms_db,change_100ms_db,change_250ms_db,change_500ms_db,change_50ms_db,classification,crest_db,decision_score,detection_mode,duration_s,event_at_s,event_brightness_db,event_db,event_duration_s,event_near_clip_pct,event_peak_dbfs,event_persistence,event_spectral_flatness,event_zcr,file,jump_db,label,max_spectral_flux,md5,old_classification,old_dynamic_range_db,old_jump_at_s,old_max_jump_db,old_median_db,old_peak_window_db,old_score,p10_db,p25_db,p50_db,p75_db,p90_db,p95_db,p99_db,path,peak_dbfs,peak_to_median_db,raw_baseline_dbfs,raw_event_dbfs,raw_jump_db,raw_median_dbfs,rms_dbfs,robust_scale_db,robust_z,sample_above_-12db_pct,sample_above_-3db_pct,sample_above_-6db_pct,sample_above_-9db_pct,score,spectral_flux_at_event,spectral_flux_near_event,spectral_shape_distance,start_at_s,start_brightness_db,start_duration_s,start_event_db,start_near_clip_pct,start_score,start_spectral_flatness,status,suspicious,transition_score,window_above_-12db_pct,window_above_-3db_pct,window_above_-6db_pct,window_above_-9db_pct
,,30.0,33.699729394273234,28.625114504925698,36.980671108707256,-10.282667290636512,-55.06524707612496,2.275765501783855,9.287374900985913,28.625114504925698,76.39241477773302,56.44386053308165,75.29231929844566,71.6535295879664,35.78532876951025,normal,19.11486058872344,0.0,transition,59.327,19.650000000000002,-0.995292389650599,-8.601041011372907,0.35000000000000003,0.8250000000000001,0.1605551540851593,0.6,0.0015668319092092759,0.31038798498122655,17884178462170333777.mp4,46.464206064752055,unlabeled,0.5654888523589071,,suspicious,20.215303658910422,0.2,53.09924209590346,-26.273412855251618,-6.058109196341195,4,-55.99278107016676,-42.546823182138674,-29.035264248578954,-19.63060229700949,-14.068336266206181,-10.661971939393089,-6.45737155056027,/b/src/336272252/17884178462170333777.mp4,0.2265222668647766,23.566098744850198,-53.512402528534395,-10.814816227442922,42.69758630109148,-29.18872269082434,-18.888338321858665,3.3740499329447435,13.771048736140028,4.725653456998314,0.2997470489038786,1.012331365935919,2.364776559865093,0.4577323087692839,0.10618072224853896,0.34550051331960335,0.761956307394534,0.15000000000000002,-4.400185498468751,0.0,-27.262805658238523,0.0625,1.260120657724728e-06,0.007472488849078682,ok,False,0.4577323087692839,7.251264755480608,0.0,0.6745362563237773,2.866779089376054
,,90.0,63.22710982225355,5.785554118464557,20.161259046599547,-12.977465746358302,-19.867210410153888,3.534753578304935,11.874918024754805,5.785554118464557,71.81467608874753,45.19569613677513,70.53820331200981,68.82974737777286,25.95068668463636,normal,11.839710574383037,0.455651288565254,transition,3.9009375,3.0,-1.1025477216034967,-3.326220037749427,0.9,1.33125,1.2133947610855103,1.0,0.21990887681866,0.23404255319148937,17884174673280229863.mp4,16.540990372404462,unlabeled,0.5337133372507051,,normal,12.927371779416463,0.1,49.70842918992682,-17.547524225901125,-4.620152446484662,2,-31.293533721762717,-23.123247564615752,-18.28118474707076,-7.997228118245269,-3.2472652073803805,-3.1530080055967855,-3.007635844809832,/b/src/336272252/17884174673280229863.mp4,1.5507042407989502,15.294415974097534,-19.23493868267827,-5.167365353311624,14.067573329366645,-17.605626240219458,-10.289006333584087,5.240625655194896,3.1563006901681305,25.357371794871796,4.885416666666666,16.266826923076923,21.31730769230769,0.455651288565254,0.12676422804889828,0.33873645033511307,0.862544091464368,1.05,-12.94677817609636,0.0,-18.0320869183893,0.7156250000000001,0.00019081164592382843,4.804169183936439e-07,ok,False,0.455651288565254,30.76923076923077,1.282051282051282,24.358974358974358,25.64102564102564
,,40.0,7.7501925183663865,23.334317123853207,25.240449659475374,-7.37561010691268,-33.99325734728484,15.302815933645638,0.06231437998748923,7.7501925183663865,49.38211063036876,38.14959381009827,72.8097027750682,72.38799055240523,20.446569431631463,normal,12.800439732485636,0.0,transition,6.36225,1.2000000000000002,-7.31329572692519,-11.046590907505223,0.45,0.0,-1.2132563591003418,0.9,0.00032060078653814656,0.13204005006257824,17884305597180319957.mp4,22.946666439779616,unlabeled,0.5848200492838054,,normal,10.516844466196956,0.2,51.79969065090283,-14.204718555735996,-3.6878740895390405,2,-49.44074201275498,-28.165756821749852,-15.438073153409883,-11.152992883323558,-8.515646389110064,-7.638524475738748,-6.509780302456931,/b/src/336272252/17884305597180319957.mp4,1.8671493530273438,9.409584176343085,-35.00021307700399,-10.904514237021694,24.095698839982298,-14.477352122721472,-10.933290379458292,22.687954903223023,1.0114030346789802,26.423228346456696,4.566929133858268,9.193405511811022,16.450787401574804,0.40286339754751854,0.3510103140571766,0.3510103140571766,0.7528652631513301,1.1500000000000001,-7.31329572692519,0.0,-11.046590907505223,0.0,0.008404592635827109,0.0003437128346078939,ok,False,0.40286339754751854,27.559055118110237,0.0,0.0,11.023622047244094
,,20.0,7.740336470329373,28.448752455238715,11.117826509713025,-8.76196645301949,-32.277013982749196,1.6822900704560784,-21.54429292488051,7.740336470329373,54.57676867613726,80.8028796455757,79.71271944213379,77.00165572479122,40.77584365428874,normal,20.667768123179634,0.0,transition,16.8345,12.8,-30.3062593779,-10.630715407695117,0.35000000000000003,5.4875,0.045848120003938675,0.8,7.643617688785616e-09,0.006257822277847309,17884553121221739558.mp4,21.64629857505408,unlabeled,0.588043724128481,,suspicious,26.704124303649074,12.9,26.761568174822386,-31.173934090937678,-4.469809787288605,4,-90.0,-35.856990869337594,-32.489649845547206,-30.55132464671368,-28.556079207692594,-27.550777454429827,-10.051112703670565,/b/src/336272252/17884553121221739558.mp4,0.045848120003938675,24.041337154124683,-30.984875235945836,-5.868511221218297,25.116364014727537,-31.441705762214998,-20.621920003175696,2.4941632584581814,8.678781752416313,2.2529761904761902,0.54296875,1.079985119047619,1.762090773809524,0.4015774373655668,0.33692505671175504,0.39728936579534746,0.4250786471754602,1.2000000000000002,-8.13073174566007,0.0,-31.509065602752727,0.0,1.2466143553500922e-07,0.035683735788170586,ok,False,0.4015774373655668,2.976190476190476,0.0,0.0,0.2976190476190476
,,,0.3341166521889667,0.9918876727990664,8.064378716008875,-9.675340880758096,-7.270625661914588,1.0399285942928267,0.523155626426604,0.3341166521889667,4.056467201310595,4.152623299927336,5.018570498925715,3.8196310767668002,2.7518167993647413,normal,10.023066361859861,0.0,loud-start,38.0125,22.85,-9.152185254331492,-6.2276764292293185,0.0,8.9125,3.6421570777893066,0.0,0.031391342172311876,0.10075093867334167,17884642798500870389.mp4,1.0429492326852694,unlabeled,0.5464333635295413,,normal,2.8437213321932413,7.300000000000001,3.1020421750945264,-6.13025171212386,-3.2865303799306185,1,-9.075958914953098,-8.18196249941823,-6.943419397309961,-6.188395805816026,-5.674582585342443,-5.2626848982757695,-4.399884581973217,/b/src/336272252/17884642798500870389.mp4,4.1087775230407715,2.8305651928463975,-5.33429407585888,-5.875892091070143,-0.5415980152112629,-6.235539632219281,-5.91428883881909,2.0,0.5214746163426347,65.41307565789474,18.408059210526314,36.65748355263158,52.6344572368421,0.398759128936611,0.3121045591508211,0.3121045591508211,0.45692882900158127,0.6000000000000001,-10.438639385330411,3.0,-5.990189161492845,5.3374999999999995,0.398759128936611,0.01701003271549808,ok,False,0.0024371540019615576,99.21052631578947,0.0,16.842105263157894,87.63157894736841
,,160.0,92.6445921316952,116.35297711418754,97.10101648700038,-90.0,-90.0,0.0,82.37355175862925,92.6445921316952,79.64567899262309,74.84510071768125,79.4586462750709,79.4586462750709,38.34172262886374,normal,11.13602654880473,0.0,transition,26.1224375,1.25,-7.6264482413707535,-11.058244682630882,0.75,0.15,-0.32969701290130615,0.9,0.033293644627422826,0.11889862327909886,17884403555081923377.mp4,78.94175531736911,unlabeled,0.4631988621162441,,normal,4.129014849020291,1.0,80.02752814571164,-10.574918749382125,-6.4459039003618335,2,-15.107523228144176,-12.7166131890814,-11.057958956800931,-9.9707258337511,-9.084821584132397,-8.554016113659904,-7.841908048089635,/b/src/336272252/17884403555081923377.mp4,0.7026017308235168,4.0566510337696435,-90.0,-10.674080899680803,79.3259191003192,-10.726585824698887,-10.433424817981214,2.0,39.47087765868456,37.27873563218391,2.9064894636015324,10.144875478927203,22.501795977011493,0.3873562286192094,0.21424961838145717,0.21424961838145717,0.555208955639192,1.25,-7.6264482413707535,0.0,-11.058244682630882,0.240625,0.008812813826883457,0.033293644627422826,ok,False,0.3873562286192094,67.04980842911877,0.0,0.0,9.003831417624522
,,,0.16404838285482892,4.19605901480579,4.057474308115063,-7.753069433709076,-9.761618429633238,1.511543172459434,-1.579905531530997,0.16404838285482892,5.706949493545972,6.316384121187156,6.484970975204286,5.119062899303822,4.752236886590243,normal,8.859159619550692,0.0,loud-start,17.7346875,4.2,-9.332974965240073,-8.456439329742262,0.0,0.13749999999999998,-0.21595723927021027,0.0,0.040060671221134214,0.09449311639549438,17884192976280989957.webm,1.3051790998909762,unlabeled,0.5681644898969946,,normal,3.305417859448945,6.0,4.112986710896115,-8.588156728190912,-5.2827388687419665,1,-12.130813014599296,-10.82444691712797,-9.453805530115872,-8.0611955877335,-7.3222953394960095,-6.9629708496109455,-6.335493253165632,/b/src/336272252/17884192976280989957.webm,0.6586408615112305,3.540464797713047,-8.368369137917606,-7.838753413310714,0.5296157246068915,-8.523434617134615,-8.200518758039461,2.2410139074883566,0.5824056225308175,54.89000706214689,6.426906779661016,22.816560734463277,39.762535310734464,0.38043384039790756,0.1699049183199007,0.3118863292588625,0.38213208438348406,0.2,-1.0642908706048393,0.8,-6.342234485138344,0.42500000000000004,0.38043384039790756,0.21946684404978678,ok,False,0.0018613878434297032,89.54802259887006,0.0,0.5649717514124294,41.52542372881356
,,,25.212570891001445,18.23678582725796,15.181379548861951,-17.237455271294756,-26.437455186745694,14.58474130452975,11.962199847799777,15.181379548861951,78.80613697441613,58.73786161292558,69.60014117100847,69.60014117100847,35.5779891496498,normal,11.073264796274465,0.0,transition,96.6414375,1.9000000000000001,-5.275255423494979,-8.813877579706608,3.0,0.83125,0.5877572894096375,1.0,0.13234206146688243,0.16520650813516896,17884515478000181379.mp4,17.62357760703909,unlabeled,0.5600720971628769,,normal,2.8472306011564097,0.7000000000000001,69.3342588276521,-9.305022908661444,-6.457792307505034,2,-15.708587670979416,-11.33666718157123,-9.540097977387907,-8.21088395959944,-7.329729486323797,-6.888180764344936,-6.337149496664601,/b/src/336272252/17884515478000181379.mp4,1.5950851440429688,3.857149417606908,-26.787363471438816,-8.893787112337206,17.89357635910161,-9.270229544044595,-9.478179652231496,21.623337458095808,0.8150257859681507,42.84617624223602,4.438308747412009,14.412719979296066,28.28522903726708,0.3687971059709694,0.12814233652100582,0.2313433745019492,0.33320513224800913,1.9500000000000002,-5.275255423494979,0.25,-8.813877579706608,0.740625,0.07220593600083379,0.13234206146688243,ok,False,0.3687971059709694,79.76190476190477,0.0,0.15527950310559005,40.89026915113871
,,20.0,13.741299956703678,30.457715528560765,19.01887917349149,-22.77040162337772,-30.235611517410362,6.488281733296644,-7.559924819845694,13.741299956703678,33.37972589237851,59.151003846735534,57.223403073640014,54.48253902200176,31.97986222472221,normal,19.55666882886006,0.0,transition,21.2695,17.25,-30.330326443223413,-10.836891175191294,0.35000000000000003,5.5,-0.047671716660261154,0.8,7.360425621315766e-09,0.005632040050062579,17884557935350985471.mp4,19.398720342219068,unlabeled,0.5480129990879937,,suspicious,17.852369484697938,17.3,32.75648480502857,-22.587559011382304,-4.735189526684367,4,-90.0,-30.141717209581557,-24.67402413213632,-23.292728545173173,-22.38224706215752,-20.34403976192546,-10.540580406482599,/b/src/336272252/17884557935350985471.mp4,-0.047671716660261154,17.89405078404303,-25.5042071088595,-5.268954511584523,20.23525259727498,-22.766708942652947,-19.604340545520323,9.619526497785603,2.0165982542575893,1.8292647058823528,0.4288235294117647,0.8542647058823529,1.3913235294117647,0.3319824185537509,0.2672003257883476,0.3438331099864069,0.3608969066096404,1.2000000000000002,-10.41847192227,0.0,-27.83249135603215,0.0,8.84544263323987e-07,0.007284082153459874,ok,False,0.3319824185537509,1.8823529411764703,0.0,0.0,0.4705882352941176
,,,0.9873899997992024,10.074649429598526,-0.3002044336717393,-14.922590995115765,-8.844984136694581,1.5029833174294782,3.170440095418062,-0.3002044336717393,8.41480174465233,9.614393066195978,8.370140374277703,7.513025635830706,8.1808277251767,normal,6.404612710462582,0.0,loud-start,38.016,30.700000000000003,-11.752150899697703,-6.307097436719138,0.0,18.83125,1.2529571056365967,0.0,0.04116864112161609,0.07634543178973717,17884504366190553615.mp4,2.5378866999754432,unlabeled,0.48038114301606283,,normal,2.257693846112242,3.2,5.571123578466488,-4.312973231864385,-2.0552793857521428,1,-11.837761614400033,-10.353971386457332,-8.855015892958468,-7.28027601411182,-5.989738121310357,-4.774666640232388,-4.193587463194679,/b/src/336272252/17884504366190553615.mp4,1.7660541534423828,5.185541209048518,-3.6641024181497412,-4.2246793830876985,-0.5605769649379573,-4.461044112701536,-4.6385585570201995,2.2283230664209444,1.1389222407735111,72.10115131578947,32.16217105263158,49.624917763157896,62.4235197368421,0.30898092870082544,0.41439948391616754,0.41439948391616754,0.20305412194527978,0.9500000000000001,-7.926237340430747,1.1500000000000001,-6.940002927450509,3.64375,0.30898092870082544,0.04094028651263948,ok,False,0.004322798605670733,91.71052631578948,0.0,10.131578947368421,52.63157894736842
