api_duration_s,api_size_kib,attack_ms,band_high_jump_db,band_low_jump_db,band_mid_jump_db,baseline_brightness_db,baseline_db,baseline_mad_db,brightness_change_db,broadband_jump_db,change_1000ms_db,change_100ms_db,change_250ms_db,change_500ms_db,change_50ms_db,classification,crest_db,decision_mode,decision_score,detection_mode,duration_s,event_at_s,event_brightness_db,event_db,event_duration_s,event_near_clip_pct,event_peak_dbfs,event_persistence,event_spectral_flatness,event_zcr,file,jump_db,label,max_spectral_flux,md5,old_classification,old_dynamic_range_db,old_jump_at_s,old_max_jump_db,old_median_db,old_peak_window_db,old_score,p10_db,p25_db,p50_db,p75_db,p90_db,p95_db,p99_db,path,peak_dbfs,peak_to_median_db,raw_baseline_dbfs,raw_event_dbfs,raw_jump_db,raw_median_dbfs,rescue_mode,rescue_score,risk_mode,rms_dbfs,robust_scale_db,robust_z,sample_above_-12db_pct,sample_above_-3db_pct,sample_above_-6db_pct,sample_above_-9db_pct,score,spectral_flux_at_event,spectral_flux_near_event,spectral_shape_distance,start_at_s,start_brightness_db,start_duration_s,start_event_db,start_near_clip_pct,start_score,start_spectral_flatness,status,suspicious,transition_score,window_above_-12db_pct,window_above_-3db_pct,window_above_-6db_pct,window_above_-9db_pct
5,681,40.0,60.87917973529501,50.46315278459791,70.45884702369673,-11.666907756840896,-58.18793702935044,1.0606494603280794,7.868830957225641,50.46315278459791,58.38692599142243,54.59825767460024,59.304603830250066,59.2050043898103,27.389723239316503,suspicious,12.563515461704565,short-spectral-burst,0.8999570565619389,short-spectral-burst,4.945875,3.0500000000000003,-3.798076799615255,-0.19606821909833083,0.6000000000000001,65.9375,2.603642463684082,1.0,0.003550234443379697,0.14330413016270338,17885487431220276835.mp4,57.99186881025211,confirmed positive #10 (boosted porn audio),0.4352019696666196,e761bd76a59f79f4f81932c1df48209a,suspicious,53.92564298488818,3.0,53.479012818126726,-54.63719066965897,-0.7115476847707909,4,-60.326317581159785,-59.06525792324447,-57.673773507447564,-54.46135137435948,-0.5428714658241408,-0.20059359619428432,-0.07572730546881498,/b/src/336291305/17885487431220276835.mp4,2.736487865447998,57.614898622285025,-55.308822911543785,-0.8870734865327001,54.421749425011086,-54.98512855974433,short-spectral-burst,0.8999570565619389,transition,-9.827027596256567,2.0,28.995934405126054,12.711734693877553,10.783163265306122,11.704081632653061,12.253826530612246,0.8999570565619389,0.22440265990966288,0.4352019696666196,0.893454512583118,1.0,-15.01688660277853,0.0,-56.66016855437207,0.0,1.1367204685498259e-13,0.010138948132002577,ok,True,0.8129073031889883,14.285714285714285,12.244897959183673,13.26530612244898,14.285714285714285
15,3264,50.0,39.95667725015151,26.624553911085506,34.929633804312665,-9.32613142362278,-39.262487371558976,4.961637234135303,4.722181979053449,26.624553911085506,51.132694086346845,37.609493413028574,46.80246792584308,42.45394971977594,20.612097463073113,suspicious,9.368655044872513,sustained-spectral-takeover,0.8827546765204324,sustained-spectral-takeover,15.3019375,9.25,-4.603949444569331,-2.926155811289107,3.0,2.8937500000000003,0.16444839537143707,1.0,0.0008658158628553756,0.13704630788485606,17885024222391568056.mp4,36.33633156026987,confirmed positive #7 (boosted porn audio),0.5059127722814762,603a0aa3d840008d8bb8ed2b6f845052,suspicious,34.60941381959773,0.30000000000000004,42.404935275153086,-37.14441625844261,-2.535002438844885,4,-49.08117609205162,-45.266414189236635,-37.37694436990563,-5.027705898402,-3.0194508020314004,-2.6104458098382235,-2.00727208477011,/b/src/336291305/17885024222391568056.mp4,0.30363842844963074,35.633389377601524,-39.23904119896349,-3.489056229183989,35.749984969779504,-37.54362163305514,sustained-spectral-takeover,0.8827546765204324,transition,-9.065016616422882,7.356123363328999,4.939603343441746,30.541666666666668,10.334967320261438,21.93035130718954,27.047998366013072,0.8827546765204324,0.16148701470486843,0.5004746018113865,0.8656031355019776,0.75,-9.90992752898442,0.0,-40.517276598370074,0.0,8.263850535185231e-10,0.005755027070619589,ok,True,0.7275894724151413,39.21568627450981,10.130718954248366,29.411764705882355,35.947712418300654
41,5101,190.0,48.2845912071774,78.49458982567432,65.40638087116585,-15.204540616609792,-65.11694204832723,24.883057951672768,8.629630478799932,48.2845912071774,87.6753607863054,59.511923867266816,72.6161792793313,72.6161792793313,36.75732936165811,suspicious,7.62594170541627,short-high-contrast-burst,0.8806484261302517,short-high-contrast-burst,41.470875,1.35,-6.5749101378098604,-3.631929391835678,0.30000000000000004,21.7875,2.2786731719970703,0.8,0.04031001204132107,0.09198998748435544,17885460222141837902.mp4,61.485012656491556,confirmed positive #8 (slower screamer),0.711424139392872,2e7d3196f3a69ac3c730f06147de7202,normal,2.9380531501284586,0.6000000000000001,72.6704247683744,-3.8872834369965554,-0.949230286868097,2,-4.5434986921312,-3.9551001510876596,-3.3586527746382897,-2.9298005479267326,-2.6004752891108622,-2.27327953077634,-1.8341619310520125,/b/src/336291305/17885460222141837902.mp4,3.581928253173828,2.26842087548318,-64.62061174145128,-3.5189551415022837,61.101656599949,-3.9247094739005424,short-high-contrast-burst,0.8806484261302517,transition,-4.044013452242442,36.891621719150045,1.6666389220990885,86.6776236429433,35.379071170084444,70.93086550060313,81.78151387213511,0.8806484261302517,0.423587930569482,0.423587930569482,0.5589442271212212,0.55,-7.080066821969696,0.0,-18.857258619411784,2.171875,0.0001313348273987886,0.017589372547373305,ok,True,0.7915178555017629,95.41616405307599,28.70928829915561,95.05428226779252,95.29553679131485
4,431,,7.031220645755357,-2.9879808486360733,8.106677707327998,-8.213114569372646,-40.108451607093116,4.807813415359,2.0375386826528175,-2.9879808486360733,42.01949288219274,28.415279019953026,37.76573658936328,41.332723518724265,17.901000602378215,suspicious,11.697991417501584,transition,0.8124434576170478,transition,4.837,3.75,-6.1755758867198285,-4.813943299998726,0.8500000000000001,8.3375,1.124670386314392,0.9,0.013625448785724718,0.14205256570713393,17885474189950590427.webm,35.29450830709439,confirmed positive #9 (boosted cartoon scream),0.5721036280231917,a300aab2156ffb544fee1ec71ee33b0d,suspicious,25.57305946339699,2.6,27.29465921966988,-29.008946330301512,-3.4358868669045224,4,-44.322300035705545,-42.43638174503269,-31.835595480664928,-7.875634833730537,-4.602571698257609,-3.466526398693052,-2.0641474934379223,/b/src/336291305/17885474189950590427.webm,1.3790720701217651,29.93793374868671,-31.360349190368968,-5.067269192730666,26.2930799976383,-28.65959627896285,,0.0,transition,-10.318919347379818,7.128064169611253,4.951485770507487,25.73046875,6.0390625,13.549479166666668,20.165364583333336,0.8124434576170478,0.28255948766383243,0.28255948766383243,0.6167349261021662,0.0,-24.826248559563922,0.0,-40.27615920039302,0.0,9.148301579141974e-10,0.0013325534465133972,ok,True,0.8124434576170478,36.45833333333333,3.125,15.625,30.208333333333332
35,2620,30.0,36.22660067130617,50.78537355672351,36.523979104235906,-12.154129381238992,-33.58113436871544,18.335341122628073,-6.008531874143838,36.22660067130617,76.95896258024985,59.5667819674968,68.50902095427256,74.70654095367195,34.71625606925025,normal,16.263578226042178,transition,0.0,transition,35.5475625,8.25,-18.16266125538283,-6.643947912612498,0.35000000000000003,4.7,0.6749829053878784,0.7,3.387574849506875e-05,0.036921151439299124,17885426225650373621.mp4,26.937186456102943,provisional negative (user-reviewed thread),0.6091431521258565,508a4abcaede5706df9b7be1cadd8745,suspicious,22.116407845566897,26.900000000000002,67.2364206484981,-26.430369331066306,-4.313961485499409,4,-58.61932155405866,-42.22447388870525,-27.364055634487823,-18.327467985270044,-9.797134694304242,-6.937737662327861,-5.5163029430055746,/b/src/336291305/17885426225650373621.mp4,0.8012182712554932,23.107637996706472,-33.4680622246521,-5.964659072911548,27.503403151740553,-26.982907791513625,,0.0,transition,-15.462359954786686,27.18397674840838,0.9909214794218846,9.079841549295775,1.4105633802816901,3.351056338028169,5.874119718309859,0.738057984725841,0.4917207633870952,0.4917207633870952,0.5363854513670828,0.45,-4.537324872907654,0.0,-26.842605912565634,0.0,1.6401715203357742e-06,0.028442403204403957,ok,False,0.738057984725841,13.098591549295774,0.0,2.676056338028169,8.732394366197182
18,4785,100.0,39.62128767844044,18.360396144678333,30.35469176676416,-17.918898954328025,-35.696960775583996,10.678102526608782,10.412623431323265,18.360396144678333,59.20549546582868,55.655834371869446,57.242506180944844,58.541186203205534,28.909431094360635,normal,9.066376353477956,transition,0.0,transition,18.92425,10.3,-7.506275523004761,-6.025172258400721,3.0,26.187500000000004,2.675516366958618,1.0,0.1217440749437969,0.13642052565707133,17885468877441353320.mp4,29.671788517183273,provisional negative (user-reviewed thread),0.616030602925666,127f3ce1ecb8129dbc74f5e4629e45d5,suspicious,17.830343689695937,0.1,61.682508466071646,-18.14217180772666,-0.3118281180307218,4,-32.61910640618479,-30.773480707419843,-18.6679755803047,-6.3651907216883075,-4.2476539092806815,-3.0931304282819734,-2.2586543262225898,/b/src/336291305/17885468877441353320.mp4,2.675516366958618,16.650345763314355,-29.342477799614016,-5.468678271302135,23.87379952831188,-18.04603069964334,,0.0,transition,-6.390859986519337,15.83135480595018,1.8742419003856319,35.25611772486773,21.011739417989418,25.997850529100532,30.76554232804233,0.6301750352750299,0.12654402756590932,0.4439431173682656,0.36861074131848565,0.5,-29.488701822283637,0.0,-31.02230415403339,0.0,1.4821773806164657e-07,6.555862404398401e-05,ok,False,0.6301750352750299,47.08994708994709,4.232804232804233,22.22222222222222,39.15343915343915
127,12079,,23.27249739342072,12.141845209780628,12.141852069430934,-9.173158876307962,-23.590740311318676,6.1202379285681445,-0.444967350170014,12.141845209780628,81.08302979738201,63.56085728207175,81.95419064288164,80.16513149044111,39.34887454754748,normal,10.706164480524045,transition,0.6154336143440912,transition,127.9651875,108.45,-9.618126226477976,-5.026942162151258,3.0,23.90625,2.394386053085327,1.0,0.05715462878750992,0.07290362953692114,17885509617340308491.mp4,18.563798149167418,reviewed negative (legitimate loud phonk),0.5738961806106411,c2c02cfdc2a70001d484d8d5b0d647cb,normal,5.527546182071419,0.2,56.700530901217505,-7.996371996489854,-2.4688258144184347,2,-13.967096466274825,-11.197923519651113,-9.115472957445341,-7.34670533857998,-6.018730919956046,-5.43795598149933,-4.421162229081444,/b/src/336291305/17885509617340308491.mp4,2.967876434326172,7.167144429963486,-23.147534243282312,-2.986522691558548,20.161011551723764,-8.087594117873147,,0.0,transition,-7.738288046197873,9.07386475289513,2.045853520490749,50.17931809300508,10.223915592028137,23.135526572880032,36.99035267682689,0.6154336143440912,0.2593492531163381,0.3184901877527706,0.6716550014401161,0.8500000000000001,1.2943015675091927,0.15000000000000002,-9.199660096602967,1.93125,0.04349660986108914,0.06858732876351872,ok,False,0.6154336143440912,81.24267291910903,0.11723329425556857,9.691285658460336,48.18288393903868
315,14302,40.0,28.54376292667315,27.60843437003162,34.982715554624434,-7.948096593779227,-30.93490238748356,11.43539978899949,-4.187588760204352,27.60843437003162,70.49901807020873,52.905993813688696,57.598824092028636,84.26852792790321,26.894571429239264,normal,12.508449684932422,transition,0.0,transition,315.8378125,171.0,-12.135685353983579,-8.692702562261047,0.6000000000000001,3.16875,0.47888514399528503,0.9,0.0035854525996304506,0.07196495619524405,17885435948040353808.mp4,22.242199825222514,provisional negative (user-reviewed thread),0.6044788810873905,d13994148a487a14843efd1989edc737,normal,10.142425698598831,0.1,52.87554151467533,-12.57235968090865,-2.4299339823098185,2,-26.38712838671951,-19.773822957327166,-13.640484435864659,-9.46135254771594,-6.887110370668622,-5.633396825351479,-3.852871738235238,/b/src/336291305/17885435948040353808.mp4,1.5160179138183594,11.748531562250061,-31.279555346089253,-8.257953757461575,23.02160158862768,-13.761060302620484,,0.0,transition,-10.992431771114063,16.954123727170643,1.3119050080764252,25.80890793223559,4.042788157061431,9.531566656111464,17.015941656111462,0.5790559398563558,0.308333234252457,0.5194504743186699,0.4172430070645532,0.45,-4.9467215135516005,0.30000000000000004,-6.399007561192135,2.5875,0.20183605398939686,0.04205913185639805,ok,False,0.5790559398563558,40.81697276757442,0.30082330588980366,6.380620645978468,22.007599746675112
16,5918,60.0,58.88323034620748,59.890354129355444,72.62553664060253,-27.436239086180098,-63.80245076036538,25.41120923005662,19.928821034914964,58.88323034620748,81.51447039552434,53.36837534061827,81.86444750462393,84.77186482182255,30.1276819573243,normal,15.909273874700451,transition,0.0,transition,16.182875,8.3,-7.507418051265133,-8.487069857600545,0.35000000000000003,0.0,-2.056027412414551,0.6,0.06047440522947699,0.0869837296620776,17884645516630740148.mp4,55.315380902764836,provisional negative (user-reviewed thread),0.6686501280844795,697a100fe7928307f7f9a6860dac5b86,suspicious,43.266886860542,0.6000000000000001,59.87400969266133,-48.32111003383602,-5.054223173294021,4,-90.0,-90.0,-61.897255622215376,-24.615422221059053,-9.758167680152335,-7.46174396479623,-5.854398116725396,/b/src/336291305/17884645516630740148.mp4,0.006878801621496677,57.2882572104418,-61.087375551311524,-8.208528920446037,52.87884663086549,-60.02989013216437,,0.0,transition,-15.902395073078955,37.67465880448194,1.4682384036928364,9.412538699690403,1.0013544891640866,3.5323142414860684,6.625,0.5506263062429746,0.24956806497434167,0.24956806497434167,0.6808573964914072,0.55,-11.305160700137812,0.2,-16.346891491830455,0.13749999999999998,0.001050311806900394,0.0026976341299817666,ok,False,0.5506263062429746,13.003095975232199,0.0,1.8575851393188854,8.6687306501548
5,719,10.0,25.556730510417793,21.870023898949693,21.527852119606862,-7.774869778006016,-21.490113218853416,4.719951809161753,11.095578012550396,21.527852119606862,32.02121911822098,31.282038861828845,31.624477911053223,31.288726627907536,22.179489612835297,normal,14.239831930719516,transition,0.5232093079174049,transition,5.638125,4.1000000000000005,3.3207082345443806,-2.907248450612832,1.0,10.6625,3.1560637950897217,1.0,0.365590436678879,0.5481852315394242,17885470130240080562.webm,18.582864768240583,provisional negative (user-reviewed thread),0.48789471885209024,57ddb4bf2df2e950c7a2cc0d43cb8813,suspicious,15.28737445655505,4.0,19.86832315031587,-17.717764867342716,-2.430390410787666,3,-29.342577357506816,-23.082390545983337,-17.839497725909528,-9.328514256521181,-3.368874630836403,-2.8305525767623365,-1.7871022431651293,/b/src/336291305/17885470130240080562.webm,3.1560637950897217,16.11493589839624,-21.88266972408143,-5.659414776843123,16.22325494723831,-18.013595305442962,,0.0,transition,-11.083768135629795,6.9978005522632145,2.6555293523235024,19.782924107142858,5.152901785714286,9.190290178571429,13.457031250000002,0.5232093079174049,0.08145378093062053,0.24822242277369877,0.5623918551678375,0.65,-5.854953689997194,0.0,-16.742539600409543,0.0,0.00040259444345062555,0.003508661719028889,ok,False,0.5232093079174049,26.785714285714285,8.035714285714286,18.75,25.0
