path,file,thread,label_at_scoring,audio_sha256,logistic-compact-c005_score,logistic-compact-c005_above_training_threshold,forest-rich-depth3_score,forest-rich-depth3_above_training_threshold
/b/src/336185346/17881476531723610876.mp4,17881476531723610876.mp4,336185346,negative,8f94eaa9fe7a182dfa339a0ef351370d9ec88dcc700d186779e78aaaa4273c65,0.05814976314718748,False,0.0,False
/b/src/336185346/17881479227760332500.mp4,17881479227760332500.mp4,336185346,negative,ebf4e4d3dde7920d4aa1a5e15f12b5dcee0f067a1b7c938ad86d839d1d6d6161,0.063452927185436,False,0.0,False
/b/src/336185346/17881479229061655868.mp4,17881479229061655868.mp4,336185346,negative,9ae4b20f179eefe978667735788d618e1577365d2dac141a7d03a558aaf7e2c7,0.19799602972747682,False,0.0,False
/b/src/336185346/17881479230062576023.mp4,17881479230062576023.mp4,336185346,negative,1ed1fed04ed95af14ffe47c05aeb4ba11c7ca747907eefb5c744f337fb3adbba,0.08966528413750126,False,0.0,False
/b/src/336185346/17881481519880705376.mp4,17881481519880705376.mp4,336185346,negative,c089e4cc083084f50dcf726a482d03c4ae0073e170d3474c98058072374914f6,0.04895788002374016,False,0.0,False
/b/src/336185346/17881481520481940448.mp4,17881481520481940448.mp4,336185346,negative,c78aa7f3496e3ea50dc9c5f6752c97848804b6e317ec50d1bd87fd7add9dcf92,0.07517669810463115,False,0.0,False
/b/src/336185346/17881481520942199957.mp4,17881481520942199957.mp4,336185346,negative,243cf81ad3255cc9bac7a298d447997c798682a5d506604bddadcaa10d90bf55,0.3439757863783083,False,0.0,False
/b/src/336185346/17881481521233653944.mp4,17881481521233653944.mp4,336185346,negative,8bd4548a9f5be8ee46d33607ebe7a80de3abe978cba0484002e47f2ed6bc78f5,0.1472348247662348,False,0.0,False
/b/src/336185346/17881481936410534871.mp4,17881481936410534871.mp4,336185346,negative,5301c607861ad5e7a5b8e1c498060311dde6594fa24c267ba27676ff3799f8af,0.23100273984002329,False,0.0,False
/b/src/336185346/17881484728990977741.webm,17881484728990977741.webm,336185346,negative,fa4597a479b0a38d6ac0ef2da9abd0227e5e584ea6d31e3ca9f36d6e2aefeca0,0.08177215082410759,False,0.0,False
/b/src/336185346/17881484729291653886.webm,17881484729291653886.webm,336185346,negative,4e9d67bf9d18de926924fd502bf32bfa84f48c5725612a6f11364d5b1e438a97,0.1656434705110426,False,0.0,False
/b/src/336185346/17881484729772461168.mp4,17881484729772461168.mp4,336185346,negative,25c6a6a1fa3217a256ca5d4a427ae8793dcbe047e5197870445bd0146ca3b91b,0.10686406387068917,False,0.0,False
/b/src/336185346/17881484730143694931.mp4,17881484730143694931.mp4,336185346,negative,618f311022824a5ff368c33fcb2d94b781482bc6d17e0b7df826b3744829d10f,0.06984396674184595,False,0.0,False
